Year,Count,Type
2022,749,Transgenic
2021,639,Transgenic
2020,605,Transgenic
2019,468,Transgenic
2018,459,Transgenic
2017,380,Transgenic
2016,341,Transgenic
2015,338,Transgenic
2014,300,Transgenic
2013,270,Transgenic
2012,247,Transgenic
2011,210,Transgenic
2010,152,Transgenic
2009,120,Transgenic
2008,114,Transgenic
2007,101,Transgenic
2006,110,Transgenic
2005,97,Transgenic
2004,68,Transgenic
2003,74,Transgenic
2002,50,Transgenic
2001,53,Transgenic
2000,47,Transgenic
1999,29,Transgenic
1998,20,Transgenic
1997,15,Transgenic
1996,20,Transgenic
1995,12,Transgenic
1994,12,Transgenic
1993,15,Transgenic
1992,9,Transgenic
1991,7,Transgenic
1990,9,Transgenic
2022,128,Genomic Selection
2021,127,Genomic Selection
2020,92,Genomic Selection
2019,98,Genomic Selection
2018,62,Genomic Selection
2017,60,Genomic Selection
2016,55,Genomic Selection
2015,39,Genomic Selection
2014,22,Genomic Selection
2013,13,Genomic Selection
2012,7,Genomic Selection
2011,8,Genomic Selection
2010,6,Genomic Selection
2008,1,Genomic Selection
