"Publication_Type","Authors","Article_Name","Journal","Year","Type"
"J","Zhao, ZY; Cai, TS; Tagliani, L; Miller, M; Wang, N; Pang, H; Rudert, M; Schroeder, S; Hondred, D; Seltzer, J; Pierce, D","Agrobacterium-mediated sorghum transformation","PLANT MOLECULAR BIOLOGY",2000,"Transgenic"
"J","Singh, RK; Prasad, M","Advances in Agrobacterium tumefaciens-mediated genetic transformation of graminaceous crops","PROTOPLASMA",2016,"Transgenic"
"J","Cheng, Q; Dong, LD; Su, T; Li, TY; Gan, ZR; Nan, HY; Lu, SJ; Fang, C; Kong, LP; Li, HY; Hou, ZH; Kou, K; Tang, Y; Lin, XY; Zhao, XH; Chen, LY; Liu, BH; Kong, FJ","CRISPR/Cas9-mediated targeted mutagenesis of GmLHY genes alters plant height and internode length in soybean","BMC PLANT BIOLOGY",2019,"Transgenic"
"J","Kim, YM; Lee, JY; Lee, T; Lee, YH; Kim, SH; Kang, SH; Yoon, UH; Ha, SH; Lim, SH","The suppression of the glutelin storage protein gene in transgenic rice seeds results in a higher yield of recombinant protein","PLANT BIOTECHNOLOGY REPORTS",2012,"Transgenic"
"S","Lee, K; Zhu, HL; Yang, B; Wang, K","An Agrobacterium-Mediated CRISPR/Cas9 Platform for Genome Editing in Maize","PLANT GENOME EDITING WITH CRISPR SYSTEMS: METHODS AND PROTOCOLS",2019,"Transgenic"
"J","Rao, MVR; Rao, GJN","Agrobacterium-mediated transformation of indica rice under Acetosyringone-free conditions","PLANT BIOTECHNOLOGY",2007,"Transgenic"
"J","Liang, QJ; Wang, K; Liu, XN; Riaz, B; Jiang, L; Wan, X; Ye, XG; Zhang, CY","Improved folate accumulation in genetically modified maize and wheat","JOURNAL OF EXPERIMENTAL BOTANY",2019,"Transgenic"
"J","Hu, L; Li, Y; Xu, WG; Zhang, QC; Zhang, L; Qi, XL; Dong, HB","Improvement of the photosynthetic characteristics of transgenic wheat plants by transformation with the maize C4 phosphoenolpyruvate carboxylase gene","PLANT BREEDING",2012,"Transgenic"
"J","Do, PT; Lee, H; Mookkan, M; Folk, WR; Zhang, ZYJ","Rapid and efficient Agrobacterium-mediated transformation of sorghum (Sorghum bicolor) employing standard binary vectors and bar gene as a selectable marker","PLANT CELL REPORTS",2016,"Transgenic"
"J","Bao, AL; Chen, HF; Chen, LM; Chen, SL; Hao, QN; Guo, W; Qiu, DZ; Shan, ZH; Yang, ZL; Yuan, SL; Zhang, CJ; Zhang, XJ; Liu, BH; Kong, FJ; Li, X; Zhou, XA; Tran, LSP; Cao, D","CRISPR/Cas9-mediated targeted mutagenesis of GmSPL9 genes alters plant architecture in soybean","BMC PLANT BIOLOGY",2019,"Transgenic"
"J","Schreuder, MM; Raemakers, CJJM; Jacobsen, E; Visser, RGF","Efficient production of transgenic plants by Agrobacterium-mediated transformation of cassava (Manihot esculenta Crantz)","EUPHYTICA",2001,"Transgenic"
"J","Shu, QY; Cui, HR; Ye, GY; Wu, DX; Xia, YW; Gao, MW; Altosaar, I","Agronomic and morphological characterization of Agrobacterium-transformed Bt rice plants","EUPHYTICA",2002,"Transgenic"
"J","Wang, ZK; Yang, MM; Sun, YN; Yang, Q; Wei, LN; Shao, YP; Bao, GG; Li, WB","Overexpressing Sesamum indicum L.'s DGAT1 increases the seed oil content of transgenic soybean","MOLECULAR BREEDING",2019,"Transgenic"
"J","Pena, PA; Quach, T; Sato, S; Ge, ZX; Nersesian, N; Changa, T; Dweikat, I; Soundararajan, M; Clemente, TE","Expression of the Maize Dof1 Transcription Factor in Wheat and Sorghum","FRONTIERS IN PLANT SCIENCE",2017,"Transgenic"
"J","Cao, D; Hou, WS; Liu, W; Yao, WW; Wu, CX; Liu, XB; Han, TF","Overexpression of TaNHX2 enhances salt tolerance of 'composite' and whole transgenic soybean plants","PLANT CELL TISSUE AND ORGAN CULTURE",2011,"Transgenic"
"J","Gonzalez, MN; Massa, GA; Andersson, M; Oneto, CAD; Turesson, H; Storani, L; Olsson, N; Falt, AS; Hofvander, P; Feingold, SE","Comparative potato genome editing: Agrobacterium tumefaciens-mediated transformation and protoplasts transfection delivery of CRISPR/Cas9 components directed to StPPO2 gene","PLANT CELL TISSUE AND ORGAN CULTURE",2021,"Transgenic"
"J","Hayta, S; Smedley, MA; Demir, SU; Blundell, R; Hinchliffe, A; Atkinson, N; Harwood, WA","An efficient and reproducible Agrobacterium-mediated transformation method for hexaploid wheat (Triticum aestivum L.)","PLANT METHODS",2019,"Transgenic"
"J","Pourazari, F; Andersson, M; Weih, M","Altered Tuber Yield in Genetically Modified High-Amylose and Oil Potato Lines Is Associated With Changed Whole-Plant Nitrogen Economy","FRONTIERS IN PLANT SCIENCE",2018,"Transgenic"
"J","Wang, XY; Eggenberger, AL; Nutter, FW; Hill, JH","Pathogen-derived transgenic resistance to soybean mosaic virus in soybean","MOLECULAR BREEDING",2001,"Transgenic"
"J","Ning, WF; Zhai, H; Yu, JQ; Liang, S; Yang, X; Xing, XY; Huo, JL; Pang, T; Yang, YL; Bai, X","Overexpression of Glycine soja WRKY20 enhances drought tolerance and improves plant yields under drought stress in transgenic soybean","MOLECULAR BREEDING",2017,"Transgenic"
"J","Liu, M; Li, DM; Wang, ZK; Meng, FL; Li, YG; Wu, XX; Teng, WL; Han, YP; Li, WB","Transgenic expression of ThIPK2 gene in soybean improves stress tolerance, oleic acid content and seed size","PLANT CELL TISSUE AND ORGAN CULTURE",2012,"Transgenic"
"J","Qin, KZ; Qiu, P; Wen, JY; Zhu, YG; Li, NW; Li, SQ","High throughput transformation of a Sorghum cDNA library for rice improvement","PLANT CELL TISSUE AND ORGAN CULTURE",2016,"Transgenic"
"S","Liu, GQ; Li, JQ; Godwin, ID","Genome Editing by CRISPR/Cas9 in Sorghum Through Biolistic Bombardment","SORGHUM: METHODS AND PROTOCOLS",2019,"Transgenic"
"J","Gurel, S; Gurel, E; Kaur, R; Wong, J; Meng, L; Tan, HQ; Lemaux, PG","Efficient, reproducible Agrobacterium-mediated transformation of sorghum using heat treatment of immature embryos","PLANT CELL REPORTS",2009,"Transgenic"
"J","Sun, AJ; Dai, Y; Zhang, XS; Li, CM; Meng, K; Xu, HL; Wei, XL; Xiao, GF; Ouwerkerk, PBF; Wang, M; Zhu, Z","A Transgenic Study on Affecting Potato Tuber Yield by Expressing the Rice Sucrose Transporter Genes OsSUT5Z and OsSUT2M","JOURNAL OF INTEGRATIVE PLANT BIOLOGY",2011,"Transgenic"
"J","Di, H; Tian, Y; Zu, HY; Meng, XY; Zeng, X; Wang, ZH","Enhanced salinity tolerance in transgenic maize plants expressing a BADH gene from Atriplex micrantha","EUPHYTICA",2015,"Transgenic"
"J","Sheng, XB; Sung, ZZ; Wang, XF; Tan, YN; Yu, D; Yuan, GL; Yuan, DY; Duan, MJ","Improvement of the Rice Easy-to-Shatter Trait via CRISPR/Cas9-Mediated Mutagenesis of the qSH1 Gene","FRONTIERS IN PLANT SCIENCE",2020,"Transgenic"
"J","Sharma, S; Dhaliwal, SS","Rice residue incorporation and nitrogen application: effects on yield and micronutrient transformations under rice-wheat cropping system","JOURNAL OF PLANT NUTRITION",2020,"Transgenic"
"J","Feil, B; Weingartner, U; Stamp, P","Controlling the release of pollen from genetically modified maize and increasing its grain yield by growing mixtures of male-sterile and male-fertile plants","EUPHYTICA",2003,"Transgenic"
"J","Lee, SM; Lee, YH; Kim, HU; Seo, SC; Kwon, SJ; Cho, HS; Kim, SI; Okita, T; Kim, D","Characterization of the potato upreg1gene, encoding a mutated ADP-glucose pyrophosphorylase large subunit, in transformed rice","PLANT CELL TISSUE AND ORGAN CULTURE",2010,"Transgenic"
"J","Gonzalez, FG; Rigalli, N; Miranda, PV; Romagnoli, M; Ribichich, KF; Trucco, F; Portapila, M; Otegui, ME; Chan, RL","An Interdisciplinary Approach to Study the Performance of Second-generation Genetically Modified Crops in Field Trials: A Case Study With Soybean and Wheat Carrying the Sunflower HaHB4 Transcription Factor","FRONTIERS IN PLANT SCIENCE",2020,"Transgenic"
"J","Li, Y; Fang, YH; Peng, CJ; Hua, X; Zhang, Y; Qi, XL; Li, ZL; Wang, YM; Hu, L; Xu, WG","Transgenic expression of rice OsPHR2 increases phosphorus uptake and yield in wheat","PROTOPLASMA",2022,"Transgenic"
"J","Smidansky, ED; Martin, JM; Hannah, LC; Fischer, AM; Giroux, MJ","Seed yield and plant biomass increases in rice are conferred by deregulation of endosperm ADP-glucose pyrophosphorylase","PLANTA",2003,"Transgenic"
"J","Tian, B; Talukder, SK; Fu, JM; Fritz, AK; Trick, HN","Expression of a rice soluble starch synthase gene in transgenic wheat improves the grain yield under heat stress conditions","IN VITRO CELLULAR & DEVELOPMENTAL BIOLOGY-PLANT",2018,"Transgenic"
"J","Ozawa, K","Establishment of a high efficiency Agrobacterium-mediated transformation system of rice (Oryza sativa L.)","PLANT SCIENCE",2009,"Transgenic"
"J","Di, H; Li, R; Tian, Y; Meng, XY; Zhang, P; Liu, D; Zeng, X; Wang, ZH","OVER-EXPRESSION OF ZmARG ENCODING AN ARGINASE IMPROVES GRAIN PRODUCTION IN MAIZE","PAKISTAN JOURNAL OF BOTANY",2016,"Transgenic"
"J","Liu, SN; Shi, YL; Liu, F; Guo, Y; Lu, MH","LaCl3 treatment improves Agrobacterium-mediated immature embryo genetic transformation frequency of maize","PLANT CELL REPORTS",2022,"Transgenic"
"J","Yang, J; Mao, TT; Geng, ZG; Xue, WW; Ma, L; Jin, Y; Guo, P; Qiu, ZT; Wang, LM; Yu, CY; Sheng, YT; Zhang, J; Zhang, HX","Constitutive expression of AtSINA2 from Arabidopsis improves grain yield, seed oil and drought tolerance in transgenic soybean","PLANT PHYSIOLOGY AND BIOCHEMISTRY",2023,"Transgenic"
"J","Zhang, JR; Martin, JM; Beecher, B; Morris, CF; Hannah, LC; Giroux, MJ","Seed-specific expression of the wheat puroindoline genes improves maize wet milling yields","PLANT BIOTECHNOLOGY JOURNAL",2009,"Transgenic"
"J","Zeller, SL; Kalinina, O; Schmid, B","Costs of resistance to fungal pathogens in genetically modified wheat","JOURNAL OF PLANT ECOLOGY",2013,"Transgenic"
"J","Li, B; Liu, H; Zhang, Y; Kang, T; Zhang, L; Tong, JH; Xiao, LT; Zhang, HX","Constitutive expression of cell wall invertase genes increases grain yield and starch content in maize","PLANT BIOTECHNOLOGY JOURNAL",2013,"Transgenic"
"J","Hannah, LC; Shaw, JR; Clancy, MA; Georgelis, N; Boehlein, SK","A brittle-2 transgene increases maize yield by acting in maternal tissues to increase seed number","PLANT DIRECT",2017,"Transgenic"
"J","Shepherd, DN; Mangwende, T; Martin, DP; Bezuidenhout, M; Kloppers, FJ; Carolissen, CH; Monjane, AL; Rybicki, EP; Thomson, JA","Maize streak virus-resistant transgenic maize: a first for Africa","PLANT BIOTECHNOLOGY JOURNAL",2007,"Transgenic"
"J","Cox, WJ; Cherney, JH","Agronomic Comparisons of Conventional and Organic Maize during the Transition to an Organic Cropping System","AGRONOMY-BASEL",2018,"Transgenic"
"J","Levee, V; Lelu, MA; Jouanin, L; Cornu, D; Pilate, G","Agrobacterium tumefaciens-mediated transformation of hybrid larch (Larix kaempferi x L-decidua) and transgenic plant regeneration","PLANT CELL REPORTS",1997,"Transgenic"
"J","Roeckel, P; Oancia, T; Drevet, JR","Phenotypic alterations and component analysis of seed yield in transgenic Brassica napus plants expressing the tzs gene","PHYSIOLOGIA PLANTARUM",1998,"Transgenic"
"J","Niu, FJ; Jiang, QY; Sun, XJ; Hu, Z; Wang, LX; Zhang, H","Metabolic profiling of DREB-overexpressing transgenic wheat seeds by liquid chromatography-mass spectrometry","CROP JOURNAL",2020,"Transgenic"
"J","Fuganti-Pagliarini, R; Ferreira, LC; Rodrigues, FA; Molinari, HBC; Marin, SRR; Molinari, MDC; Marcolino-Gomes, J; Mertz-Henning, LM; Farias, JRB; de Oliveira, MCN; Neumaier, N; Kanamori, N; Fujita, Y; Mizoi, J; Nakashima, K; Yamaguchi-Shinozaki, K; Nepomuceno, AL","Characterization of Soybean Genetically Modified for Drought Tolerance in Field Conditions","FRONTIERS IN PLANT SCIENCE",2017,"Transgenic"
"J","Brookes, G","Farm income and production impacts from the use of genetically modified (GM) crop technology 1996-2020","GM CROPS & FOOD-BIOTECHNOLOGY IN AGRICULTURE AND THE FOOD CHAIN",2022,"Transgenic"
"S","Char, SN; Li, RQ; Yang, B","CRISPR/Cas9 for Mutagenesis in Rice","TRANSGENIC PLANTS: Methods and Protocols",2019,"Transgenic"
"J","Joyce, P; Hermann, S; O'Connell, A; Dinh, Q; Shumbe, L; Lakshmanan, P","Field performance of transgenic sugarcane produced using Agrobacterium and biolistics methods","PLANT BIOTECHNOLOGY JOURNAL",2014,"Transgenic"
"J","HADFI, K; BATSCHAUER, A","AGROBACTERIUM-MEDIATED TRANSFORMATION OF WHITE MUSTARD (SINAPIS-ALBA L) AND REGENERATION OF TRANSGENIC PLANTS","PLANT CELL REPORTS",1994,"Transgenic"
"J","Dominguez, MM; Padilla, CS; Mandadi, KK","A versatile Agrobacterium-based plant transformation system for genetic engineering of diverse citrus cultivars","FRONTIERS IN PLANT SCIENCE",2022,"Transgenic"
"J","Kuma, KM; Lopes-Caitar, VS; Romero, CCT; Silva, SMH; Kuwahara, MK; Carvalho, MCCG; Abdelnoor, RV; Dias, WP; Marcelino-Guimares, FC","A high efficient protocol for soybean root transformation by Agrobacterium rhizogenes and most stable reference genes for RT-qPCR analysis","PLANT CELL REPORTS",2015,"Transgenic"
"J","Beaujean, A; Sangwan, RS; Lecardonnel, A; Sangwan-Norreel, BS","Agrobacterium-mediated transformation of three economically important potato cultivars using sliced internodal explants: an efficient protocol of transformation","JOURNAL OF EXPERIMENTAL BOTANY",1998,"Transgenic"
"J","Yu, LL; Liu, YM; Zeng, S; Yan, JH; Wang, ET; Luo, L","Expression of a novel PSK-encoding gene from soybean improves seed growth and yield in transgenic plants","PLANTA",2019,"Transgenic"
"J","Zhang, ZY; Fu, FL; Gou, L; Wang, HG; Li, WC","RNA Interference-Based Transgenic Maize Resistant to Maize Dwarf Mosaic Virus","JOURNAL OF PLANT BIOLOGY",2010,"Transgenic"
"J","Do, PT; Nguyen, CX; Bui, HT; Tran, LTN; Stacey, G; Gillman, JD; Zhang, ZYJ; Stacey, MG","Demonstration of highly efficient dual gRNA CRISPR/Cas9 editing of the homeologous GmFAD2-1A and GmFAD2-1B genes to yield a high oleic, low linoleic and alpha-linolenic acid phenotype in soybean","BMC PLANT BIOLOGY",2019,"Transgenic"
"J","Shen, B; Schmidt, MA; Collet, KH; Liu, ZB; Coy, M; Abbitt, S; Molloy, L; Frank, M; Everard, JD; Booth, R; Samadar, PP; He, YH; Kinney, A; Herman, EM","RNAi and CRISPR-Cas silencing E3-RING ubiquitin ligase AIP2 enhances soybean seed protein content","JOURNAL OF EXPERIMENTAL BOTANY",2022,"Transgenic"
"J","Liu, YR; Cen, HF; Yan, JP; Zhang, YW; Zhang, WJ","Inside out: high-efficiency plant regeneration and Agrobacterium-mediated transformation of upland and lowland switchgrass cultivars","PLANT CELL REPORTS",2015,"Transgenic"
"S","Li, RQ; Char, SN; Yang, B","Creating Large Chromosomal Deletions in Rice Using CRISPR/Cas9","PLANT GENOME EDITING WITH CRISPR SYSTEMS: METHODS AND PROTOCOLS",2019,"Transgenic"
"J","Qin, N; Xu, WG; Hu, L; Li, Y; Wang, HW; Qi, XL; Fang, YH; Hua, X","Drought tolerance and proteomics studies of transgenic wheat containing the maize C-4 phosphoenolpyruvate carboxylase (PEPC) gene","PROTOPLASMA",2016,"Transgenic"
"J","Enriquez-Obregon, GA; Vazquez-Padron, RI; Prieto-Samsonov, DL; De la Riva, GA; Selman-Housein, G","Herbicide-resistant sugarcane (Saccharum officinarum L.) plants by Agrobacterium-mediated transformation","PLANTA",1998,"Transgenic"
"J","Pena, PA; Quach, T; Sato, S; Ge, ZX; Nersesian, N; Dweikat, IM; Soundararajan, M; Clemente, T","Molecular and phenotypic characterization of transgenic wheat and sorghum events expressing the barley alanine aminotransferase","PLANTA",2017,"Transgenic"
"J","Xu, MY; Li, LH; Fan, YL; Wan, JM; Wang, L","ZmCBF3 overexpression improves tolerance to abiotic stress in transgenic rice (Oryza sativa) without yield penalty","PLANT CELL REPORTS",2011,"Transgenic"
"J","Choi, MS; Woo, MO; Koh, EB; Lee, J; Ham, TH; Seo, HS; Koh, HJ","Teosinte Branched 1 modulates tillering in rice plants","PLANT CELL REPORTS",2012,"Transgenic"
"J","Hay, WT; Bihmidine, S; Mutlu, N; Le Hoang, K; Awada, T; Weeks, DP; Clemente, TE; Long, SP","Enhancing soybean photosynthetic CO2 assimilation using a cyanobacterial membrane protein, ictB","JOURNAL OF PLANT PHYSIOLOGY",2017,"Transgenic"
"J","Anderson, DJ; Birch, RG","Minimal Handling and Super-Binary Vectors Facilitate Efficient, Agrobacterium-Mediated, Transformation of Sugarcane (Saccharum spp. hybrid)","TROPICAL PLANT BIOLOGY",2012,"Transgenic"
"J","Lu, HJ; Zhou, XR; Gong, ZX; Upadhyaya, NM","Generation of selectable marker-free transgenic rice using double right-border (DRB) binary vectors","AUSTRALIAN JOURNAL OF PLANT PHYSIOLOGY",2001,"Transgenic"
"J","Ling, F; Zhou, F; Chen, H; Lin, YJ","Development of Marker-Free Insect-Resistant Indica Rice by Agrobacterium tumefaciens-Mediated Co-transformation","FRONTIERS IN PLANT SCIENCE",2016,"Transgenic"
"J","Cho, HJ; Moy, Y; Rudnick, NA; Klein, TM; Yin, JM; Bolar, J; Hendrick, C; Beatty, M; Castaneda, L; Kinney, AJ; Jones, TJ; Chilcoat, ND","Development of an efficient marker-free soybean transformation method using the novel bacterium Ochrobactrum haywardense H1","PLANT BIOTECHNOLOGY JOURNAL",2022,"Transgenic"
"J","Zhang, HW; Li, R; Guo, YK; Zhang, YC; Zhang, DB; Yang, LT","LIFE-Seq: a universal Large Integrated DNA Fragment Enrichment Sequencing strategy for deciphering the transgene integration of genetically modified organisms","PLANT BIOTECHNOLOGY JOURNAL",2022,"Transgenic"
"J","Chen, X; Yang, SX; Zhang, YH; Zhu, XB; Yang, XJ; Zhang, CB; Li, HY; Feng, XZ","Generation of male-sterile soybean lines with the CRISPR/Cas9 system","CROP JOURNAL",2021,"Transgenic"
"J","Thakur, T; Sinha, K; Kaur, T; Kapoor, R; Kumar, G; Bhunia, RK; Salvi, P","Efficient Genetic Transformation of Rice for CRISPR/Cas9 Mediated Genome-Editing and Stable Overexpression Studies: A Case Study on Rice Lipase 1 and Galactinol Synthase Encoding Genes","AGRONOMY-BASEL",2022,"Transgenic"
"J","Liu, HK; Yang, C; Wei, ZM","Efficient Agrobacterium tumefaciens-mediated transformation of soybeans using an embryonic tip regeneration system","PLANTA",2004,"Transgenic"
"J","Feher-Juhasz, E; Majer, P; Sass, L; Lantos, C; Csiszar, J; Turoczy, Z; Mihaly, R; Mai, A; Horvath, GV; Vass, I; Dudits, D; Pauk, J","Phenotyping shows improved physiological traits and seed yield of transgenic wheat plants expressing the alfalfa aldose reductase under permanent drought stress","ACTA PHYSIOLOGIAE PLANTARUM",2014,"Transgenic"
