PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Juliana, P; Singh, RP; Braun, HJ; Huerta-Espino, J; Crespo-Herrera, L; Payne, T; Poland, J; Shrestha, S; Kumar, U; Joshi, AK; Imtiaz, M; Rahman, MM; Toledo, FH				Juliana, Philomin; Singh, Ravi Prakash; Braun, Hans-Joachim; Huerta-Espino, Julio; Crespo-Herrera, Leonardo; Payne, Thomas; Poland, Jesse; Shrestha, Sandesh; Kumar, Uttam; Joshi, Arun Kumar; Imtiaz, Muhammad; Rahman, Mohammad Mokhlesur; Toledo, Fernando Henrique			Retrospective Quantitative Genetic Analysis and Genomic Prediction of Global Wheat Yields	FRONTIERS IN PLANT SCIENCE																	Poland, Jesse/HKO-1284-2023; Kumar, Uttam/ABB-1035-2021; HUERTA-ESPINO, JULIO/E-7345-2010	Kumar, Uttam/0000-0002-6618-3810; HUERTA-ESPINO, JULIO/0000-0001-8334-9862; Crespo Herrera, Leonardo Abdiel/0000-0003-0506-4700													1664-462X					AUG 27	2020	11								580136	10.3389/fpls.2020.580136	http://dx.doi.org/10.3389/fpls.2020.580136								32973861					WOS:000570603700001
J	Juliana, P; Singh, RP; Braun, HJ; Huerta-Espino, J; Crespo-Herrera, L; Govindan, V; Mondal, S; Poland, J; Shrestha, S				Juliana, Philomin; Prakash Singh, Ravi; Braun, Hans-Joachim; Huerta-Espino, Julio; Crespo-Herrera, Leonardo; Govindan, Velu; Mondal, Suchismita; Poland, Jesse; Shrestha, Sandesh			Genomic Selection for Grain Yield in the CIMMYT Wheat Breeding Program-Status and Perspectives	FRONTIERS IN PLANT SCIENCE																	Poland, Jesse/HKO-1284-2023; HUERTA-ESPINO, JULIO/E-7345-2010	Crespo Herrera, Leonardo Abdiel/0000-0003-0506-4700; Velu, Govindan/0000-0001-9502-4352; HUERTA-ESPINO, JULIO/0000-0001-8334-9862													1664-462X					SEP 15	2020	11								564183	10.3389/fpls.2020.564183	http://dx.doi.org/10.3389/fpls.2020.564183								33042185					WOS:000576072700001
J	Ozimati, AA; Esuma, W; Manze, F; Iragaba, P; Kanaabi, M; Ano, CU; Egesi, C; Kawuki, RS				Ozimati, Alfred. A.; Esuma, Williams; Manze, Francis; Iragaba, Paula; Kanaabi, Michael; Ano, Chukwuka Ugochukwu; Egesi, Chiedozie; Kawuki, Robert. S.			Utility of Ugandan genomic selection cassava breeding populations for prediction of cassava viral disease resistance and yield in West African clones	FRONTIERS IN PLANT SCIENCE																		Esuma, Williams/0000-0003-4842-0605													1664-462X					NOV 23	2022	13								1018156	10.3389/fpls.2022.1018156	http://dx.doi.org/10.3389/fpls.2022.1018156								36507414					WOS:000893473900001
J	Roorkiwal, M; Rathore, A; Das, RR; Singh, MK; Jain, A; Srinivasan, S; Gaur, PM; Chellapilla, B; Tripathi, S; Li, YL; Hickey, JM; Lorenz, A; Sutton, T; Crossa, J; Jannink, JL; Varshney, RK				Roorkiwal, Manish; Rathore, Abhishek; Das, Roma R.; Singh, Muneendra K.; Jain, Ankit; Srinivasan, Samineni; Gaur, Pooran M.; Chellapilla, Bharadwaj; Tripathi, Shailesh; Li, Yongle; Hickey, John M.; Lorenz, Aaron; Sutton, Tim; Crossa, Jose; Jannink, Jean-Luc; Varshney, Rajeev K.			Genome-Enabled Prediction Models for Yield Related Traits in Chickpea	FRONTIERS IN PLANT SCIENCE																	Gaur, Pooran/AAR-5729-2021; Varshney, Rajeev K/C-5295-2014; Sutton, Tim/ABC-8454-2020; Roorkiwal, Manish/E-9822-2011; Chellapilla, Bharadwaj/AAK-9227-2021; Crossa, Jose/AAE-7898-2019; Gaur, Pooran Mal/ABE-6102-2020; Li, Yongle/G-3227-2017; Samineni, Srinivasan/AAJ-3900-2020	Varshney, Rajeev K/0000-0002-4562-9131; Roorkiwal, Manish/0000-0001-6595-281X; Chellapilla, Bharadwaj/0000-0002-1651-7878; Gaur, Pooran Mal/0000-0002-7086-5873; Li, Yongle/0000-0003-3966-8596; Samineni, Srinivasan/0000-0001-9350-8847; Jannink, Jean-Luc/0000-0003-4849-628X; Sutton, Timothy/0000-0002-9059-0774													1664-462X					NOV 22	2016	7								1666	10.3389/fpls.2016.01666	http://dx.doi.org/10.3389/fpls.2016.01666								27920780					WOS:000443585900001
J	Guo, TT; Yu, XQ; Li, XR; Zhang, HZ; Zhu, CS; Flint-Garcia, S; McMullen, MD; Holland, JB; Szalma, SJ; Wisser, RJ; Yu, JM				Guo, Tingting; Yu, Xiaoqing; Li, Xianran; Zhang, Haozhe; Zhu, Chengsong; Flint-Garcia, Sherry; McMullen, Michael D.; Holland, James B.; Szalma, Stephen J.; Wisser, Randall J.; Yu, Jianming			Optimal Designs for Genomic Selection in Hybrid Crops	MOLECULAR PLANT																	Li, Xianran/AAH-1070-2019; Yu, Jianming/Q-6722-2019	Li, Xianran/0000-0002-4252-6911; Yu, Jianming/0000-0001-5326-3099; Holland, James/0000-0002-4341-9675; Zhang, Haozhe/0000-0002-7771-4808; Flint-Garcia, Sherry/0000-0003-4156-5318; Guo, Tingting/0000-0002-6647-6998													1674-2052	1752-9867				MAR 4	2019	12	3					390	401		10.1016/j.molp.2018.12.022	http://dx.doi.org/10.1016/j.molp.2018.12.022								30625380					WOS:000460170800013
J	Guo, XY; Svane, SF; Fuchtbauer, WS; Andersen, JR; Jensen, J; Thorup-Kristensen, K				Guo, Xiangyu; Svane, Simon F.; Fuchtbauer, Winnie S.; Andersen, Jeppe R.; Jensen, Just; Thorup-Kristensen, Kristian			Genomic prediction of yield and root development in wheat under changing water availability	PLANT METHODS																	Svane, Simon F/G-3214-2015; Thorup-Kristensen, Kristian/C-6417-2014	Svane, Simon F/0000-0002-8333-6524; Guo, Xiangyu/0000-0001-7354-1519; Andersen, Jeppe Reitan/0000-0003-4666-3400; Thorup-Kristensen, Kristian/0000-0001-5476-985X														1746-4811				JUL 1	2020	16	1							90	10.1186/s13007-020-00634-0	http://dx.doi.org/10.1186/s13007-020-00634-0								32625241					WOS:000549102600001
J	Sukumaran, S; Jarquin, D; Crossa, J; Reynolds, M				Sukumaran, Sivakumar; Jarquin, Diego; Crossa, Jose; Reynolds, Matthew			Genomic-enabled Prediction Accuracies Increased by Modeling Genotype x Environment Interaction in Durum Wheat	PLANT GENOME																	sukumaran, sivakumar/AFO-2409-2022; Crossa, Jose/AAE-7898-2019; Reynolds, Matthew M/S-3578-2016; Sukumaran, Sivakumar/AFO-2436-2022	Reynolds, Matthew M/0000-0002-4291-4316; Sukumaran, Sivakumar/0000-0003-4088-4624														1940-3372				JUL	2018	11	2							170112	10.3835/plantgenome2017.12.0112	http://dx.doi.org/10.3835/plantgenome2017.12.0112								30025014					WOS:000450929300016
J	Sapkota, S; Boatwright, JL; Jordan, K; Boyles, R; Kresovich, S				Sapkota, Sirjan; Boatwright, J. Lucas; Jordan, Kathleen; Boyles, Richard; Kresovich, Stephen			Multi-Trait Regressor Stacking Increased Genomic Prediction Accuracy of Sorghum Grain Composition	AGRONOMY-BASEL																		Sapkota, Sirjan/0000-0002-5718-3544; McCalla, Kathleen/0000-0002-0015-3723; Boyles, Richard/0000-0003-1366-7659; Boatwright, Lucas/0000-0003-4371-2457														2073-4395				SEP	2020	10	9							1221	10.3390/agronomy10091221	http://dx.doi.org/10.3390/agronomy10091221													WOS:000580211000001
J	Singer, WM; Shea, Z; Yu, DJ; Huang, HB; Mian, MAR; Shang, C; Rosso, ML; Song, QJJ; Zhang, B				Singer, William M.; Shea, Zachary; Yu, Dajun; Huang, Haibo; Mian, M. A. Rouf; Shang, Chao; Rosso, Maria L.; Song, Qijan J.; Zhang, Bo			Genome-Wide Association Study and Genomic Selection for Proteinogenic Methionine in Soybean Seeds	FRONTIERS IN PLANT SCIENCE																															1664-462X					APR 25	2022	13								859109	10.3389/fpls.2022.859109	http://dx.doi.org/10.3389/fpls.2022.859109								35557723					WOS:000805955600001
J	Muqaddasi, QH; Reif, JC; Li, Z; Basnet, BR; Dreisigacker, S; Roder, MS				Muqaddasi, Quddoos H.; Reif, Jochen C.; Li, Zou; Basnet, Bhoja R.; Dreisigacker, Susanne; Roder, Marion S.			Genome-wide association mapping and genome-wide prediction of anther extrusion in CIMMYT spring wheat	EUPHYTICA																	Röder, Marion S/B-1448-2013	Röder, Marion S/0000-0002-9313-0650; BASNET, BHOJA/0000-0002-1693-4807; Reif, Jochen/0000-0002-6742-265X													0014-2336	1573-5060				MAR	2017	213	3							73	10.1007/s10681-017-1863-y	http://dx.doi.org/10.1007/s10681-017-1863-y													WOS:000396111600016
