Issue,Issue Description,testing_criteria_category,"South et al., 2019","Kromdijk et al., 2016","Yoon et al., 2020","De Souza et al., 2022","Wei et al., 2022","Wei et al., 2022","Ambavaram et al., 2014",Song et al.. 2023,"Chen et al., 2022","Chen et al., 2022","Zhang et al., 2022","Yu et al., 2021","Yu et al., 2021","Ribeiro et al., 2020","Wu et al., 2023","Ashikari et al., 2005","Song et al., 2007","Li et al., 2023","Miura et al., 2010","Li et al., 2018","Li et al., 2018","Wang et al., 2008","Xue et al., 2008","Wang et al., 2022",
gene,"Name of gene(s) tested and type (Overexpression, knockout, etc)",,3 alternative photorespiratory pathways,3 separate genes related to photosynthesis,Rubisco,3 separate genes related to photosynthesis,OsDREB1C,OsDREB1C,HIGHER YIELD RICE,r-e-z,KRN2,OSKRN2,Ta-Col-B5,RNA demethylase FTO (fat mass and obesity-associated),RNA demethylase FTO (fat mass and obesity-associated),6-phosphogluconate dehydrogenase,GY3,OsCKX2,GW2,OsMADS17,OsSPL14 (WFP),GRF4,GRF4,GIF1,Ghd7,DUO1,
crop,What crop?,,tobacco,tobacco,rice,soybean,rice,wheat,rice,wheat,maize,rice,wheat,rice,potato,maize,rice,rice,rice,rice,rice,rice,wheat,rice,rice,wheat,
year,Year published,,2019,2016,2020,2022,2022,2022,2014,2023,2022,2022,2022,2021,2021,2020,2023,2005,2007,2023,2010,2018,2018,2008,2008,2022,
cited,Number of times cited,,476,1040,93,75,75,75,257,15,92,92,43,94,94,17,0,2026,1779,0,1008,431,431,859,1634,22,
altmetric,Altmetric Score,,1947,1360,18,703,549,549,21,97,349,349,41,936,936,19,79,13,9,3,7,159,159,3,9,70,
percent_increaase,What was the percent increase in yield? (X-X%),Utilizing Standard Definitions of Yield,20-24%,14-20%,16-28%,0.59-33%,41.3-68.3%,17.2-22.6%,7.6-29.7%,6.48-15.2%,9-10.5%,7.9-8.2%,7.8-19.8%,47.0-57.7%,49%,0->35%*,7.4-16.3%,10.4%*,18.7-22.1%*,6.5-15.6%,72-79%,28-74.8%,24.9-35.2%,6.2-18%,41.6-191%,9.38-11.75%,
minimum_yield,Minimum yield increase,Utilizing Standard Definitions of Yield,20,14,16,0.59,41.3,17.2,7.6,6.48,9,7.9,7.8,47,49,0,7.4,10.4,18.7,6.5,72,28,24.9,6.2,41.6,9.38,
maximum_yield,Maximum yield increase,Utilizing Standard Definitions of Yield,24,20,28,33,68.3,22.6,29.7,15.2,10.5,8.2,19.8,57.7,49,35,16.3,10.4,22.1,15.6,79,74.8,35.2,18,191,11.75,
average_yield,Average yield increase,Utilizing Standard Definitions of Yield,22,17,22,16.795,54.8,19.9,18.65,10.84,9.75,8.05,13.8,52.35,49,17.5,11.85,10.4,20.4,11.05,75.5,51.4,30.05,12.1,116.3,10.565,
Percent increase language,Did they provide this percect increase in yield as a number within the paper?,Utilizing Standard Definitions of Yield,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no*,no,yes,no,no,no,no*,no*,yes*,
Tested elite germplasm,Did they test for yield effects in elite germplasm?,Using Controls,no (Petite Havana),no (Petite Havana),unclear (Notohikari),yes (Maverick),yes (Xiushui 134),yes (Fielder),yes (Nipponbare*),yes (multiple),yes (LH244),yes (Nipponbare*),yes (Yangmai18),unclear (Nipponbare* and Zhonghua11),no information (Emalingshu3*),no,yes,yes (Habataki and Koshihikai*),unclear (Zhonghua 11),unclear (C418),yes (Nipponbare*),unclear (WYJ7),yes (KN199),unclear (TP309),"unclear (Nipponbare*, Hejiang 19, Mudanjiang 8)",yes (Fielder),
Backcrossed edits,Did they backcross (or do any kind of cross) of their edits into non-transformed germplasm before yield testing?,Using Controls,no,no,no,no,no,no,no,not applicable,no,no,no,no,no,yes*,no*,no,no,no,no,no,no,no*,no,no,
Tested wild type,Did they test for yield effects in a non-transformed wild-type plant?,Using Controls,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,unclear*,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,
Tested empty vector,Did they measure yield in a line containing a null construct?,Using Controls,yes,no,no,no,no,no,no,not applicable (natural variation allele*),no,no,unclear*,no,no,no,no,no,yes,no,yes,no,no,yes,no,no,
