Genotype,Plot_Yield,Type
Red Russian mlml,3198,A
Red Russian MIMI,5524,A
Red Russian mlml x Red Russian MlMl F1,5278,A
Petite Havana,459,B
Petite Havana x Red Russian mlml F1,1895,A
Petite Havana x Red Russian MlMl F1,2344,A
Connecticut Shade 8212,5841,A
Connecticut Shade 8212 x Red Russian mlml F1,5564,A
Connecticut Shade 8212 x Red Russian MlM F1,6498,A
TN86,7146,A
TN 86 x Red Russian mlml F1,7568,A
TN 86 x Red Russian MlMl F1,7788,A
NC 2326,6881,A
NC 2326 x Red Russian mlml F1,6551,A
NC 2326 x Red Russian MlMl F1,6727,A
Speight 168,7830,A
Speight 168 x Red Russian mlml F1,6323,A
Speight 168 x Red Russian MlMl F1,7094,A
Xanthi,2888,A
Xanthi x Red Russian mlml F1,3635,A
Xanthi x Red Russian MlMl F1,4335,A
